X,Y,U,K,KU,H,HU
-0.6,-0.25,0.42,2,0.5,98,0.418367347
-0.6,-0.2,0.48,2,0.5,98,0.479591837
-0.6,-0.15,0.44,4,0.25,96,0.447916667
-0.6,-0.1,0.36,7,0.285714286,93,0.365591398
-0.6,-0.05,0.42,3,0.666666667,97,0.412371134
-0.6,0,0.36,7,0.428571429,93,0.35483871
-0.6,0.05,0.36,5,0,95,0.378947368
-0.6,0.1,0.33,3,0.333333333,97,0.329896907
-0.6,0.15,0.32,5,0.2,95,0.326315789
-0.6,0.2,0.41,5,0.2,95,0.421052632
-0.6,0.25,0.4,4,0,96,0.416666667
-0.6,0.3,0.38,4,0,96,0.395833333
-0.6,0.35,0.36,4,0,96,0.375
-0.6,0.4,0.42,2,0.5,98,0.418367347
-0.6,0.45,0.41,1,0,99,0.414141414
-0.6,0.5,0.38,3,0.666666667,97,0.371134021
-0.6,0.55,0.43,2,0.5,98,0.428571429
-0.6,0.6,0.55,4,0,96,0.572916667
-0.6,0.65,0.51,1,0,99,0.515151515
-0.6,0.7,0.51,3,0,97,0.525773196
-0.6,0.75,0.43,5,0.6,95,0.421052632
-0.6,0.8,0.47,2,0,98,0.479591837
-0.6,0.85,0.61,1,1,99,0.606060606
-0.6,0.9,0.56,4,0.25,96,0.572916667
-0.6,0.95,0.57,3,0.333333333,97,0.577319588
-0.6,1,0.58,4,0.25,96,0.59375
-0.55,-1,0.55,12,0.416666667,88,0.568181818
-0.55,-0.95,0.71,2,0,98,0.724489796
-0.55,-0.9,0.57,9,0.555555556,91,0.571428571
-0.55,-0.85,0.76,10,0.6,90,0.777777778
-0.55,-0.8,0.65,12,0.5,88,0.670454545
-0.55,-0.75,0.66,7,0.571428571,93,0.666666667
-0.55,-0.7,0.63,9,0.555555556,91,0.637362637
-0.55,-0.65,0.55,5,0.4,95,0.557894737
-0.55,-0.6,0.52,3,0.333333333,97,0.525773196
-0.55,-0.55,0.57,9,0.444444444,91,0.582417582
-0.55,-0.5,0.58,7,0.571428571,93,0.580645161
-0.55,-0.45,0.63,1,0,99,0.636363636
-0.55,-0.4,0.52,2,0,98,0.530612245
-0.55,-0.35,0.51,4,0.5,96,0.510416667
-0.55,-0.3,0.49,2,0.5,98,0.489795918
-0.55,-0.25,0.49,6,0.333333333,94,0.5
-0.55,-0.2,0.45,4,0.25,96,0.458333333
-0.55,-0.15,0.45,3,0.333333333,97,0.453608247
-0.55,-0.1,0.46,11,0.272727273,89,0.483146067
-0.55,-0.05,0.44,7,0.285714286,93,0.451612903
-0.55,0,0.38,7,0.142857143,93,0.397849462
-0.55,0.05,0.39,5,0,95,0.410526316
-0.55,0.1,0.39,5,0.2,95,0.4
-0.55,0.15,0.36,5,0,95,0.378947368
-0.55,0.2,0.42,3,0.333333333,97,0.422680412
-0.55,0.25,0.38,3,0,97,0.391752577
-0.55,0.3,0.37,2,0,98,0.37755102
-0.55,0.35,0.39,2,0,98,0.397959184
-0.55,0.4,0.36,5,0,95,0.378947368
-0.55,0.45,0.5,4,0.25,96,0.510416667
-0.55,0.5,0.4,7,0,93,0.430107527
-0.55,0.55,0.49,1,0,99,0.494949495
-0.55,0.6,0.39,3,0,97,0.402061856
-0.55,0.65,0.38,5,0.2,95,0.389473684
-0.55,0.7,0.59,2,0.5,98,0.591836735
-0.55,0.75,0.51,1,0,99,0.515151515
-0.55,0.8,0.52,2,0.5,98,0.520408163
-0.55,0.85,0.46,2,0,98,0.469387755
-0.55,0.9,0.58,2,1,98,0.571428571
-0.55,0.95,0.54,3,0.666666667,97,0.536082474
-0.55,1,0.56,2,0,98,0.571428571
-0.5,-1,0.71,6,0.333333333,94,0.734042553
-0.5,-0.95,0.63,8,0.375,92,0.652173913
-0.5,-0.9,0.65,12,0.416666667,88,0.681818182
-0.5,-0.85,0.65,7,0.714285714,93,0.64516129
-0.5,-0.8,0.6,13,0.307692308,87,0.643678161
-0.5,-0.75,0.71,6,0.833333333,94,0.70212766
-0.5,-0.7,0.64,8,0.375,92,0.663043478
-0.5,-0.65,0.58,8,0.375,92,0.597826087
-0.5,-0.6,0.68,8,0.5,92,0.695652174
-0.5,-0.55,0.6,5,0,95,0.631578947
-0.5,-0.5,0.54,4,0.5,96,0.541666667
-0.5,-0.45,0.6,2,0.5,98,0.602040816
-0.5,-0.4,0.57,7,0.428571429,93,0.580645161
-0.5,-0.35,0.45,2,0,98,0.459183673
-0.5,-0.3,0.51,4,0.5,96,0.510416667
-0.5,-0.25,0.5,2,0.5,98,0.5
-0.5,-0.2,0.56,2,1,98,0.551020408
-0.5,-0.15,0.45,4,0.25,96,0.458333333
-0.5,-0.1,0.49,3,0.333333333,97,0.494845361
-0.5,-0.05,0.46,4,0,96,0.479166667
-0.5,0,0.41,5,0.2,95,0.421052632
-0.5,0.05,0.37,6,0.166666667,94,0.382978723
-0.5,0.1,0.47,6,0,94,0.5
-0.5,0.15,0.33,7,0.142857143,93,0.344086022
-0.5,0.2,0.42,11,0.363636364,89,0.426966292
-0.5,0.25,0.27,3,0,97,0.278350515
-0.5,0.3,0.4,6,0.166666667,94,0.414893617
-0.5,0.35,0.41,5,0.2,95,0.421052632
-0.5,0.4,0.45,3,0,97,0.463917526
-0.5,0.45,0.39,4,0,96,0.40625
-0.5,0.5,0.48,2,0.5,98,0.479591837
-0.5,0.55,0.38,5,0.4,95,0.378947368
-0.5,0.6,0.49,2,0,98,0.5
-0.5,0.65,0.5,3,0,97,0.515463918
-0.5,0.7,0.48,3,0.333333333,97,0.484536082
-0.5,0.75,0.46,0,0,100,0.46
-0.5,0.8,0.57,4,0.25,96,0.583333333
-0.5,0.85,0.52,3,0.333333333,97,0.525773196
-0.5,0.9,0.47,2,0,98,0.479591837
-0.5,0.95,0.49,1,0,99,0.494949495
-0.5,1,0.55,3,0.333333333,97,0.556701031
-0.45,-1,0.56,16,0.4375,84,0.583333333
-0.45,-0.95,0.68,10,0.5,90,0.7
-0.45,-0.9,0.67,12,0.333333333,88,0.715909091
-0.45,-0.85,0.68,9,0.555555556,91,0.692307692
-0.45,-0.8,0.66,11,0.545454545,89,0.674157303
-0.45,-0.75,0.65,10,0.4,90,0.677777778
-0.45,-0.7,0.57,5,0.4,95,0.578947368
-0.45,-0.65,0.57,6,0.333333333,94,0.585106383
-0.45,-0.6,0.58,4,0.25,96,0.59375
-0.45,-0.55,0.53,2,0.5,98,0.530612245
-0.45,-0.5,0.69,3,0,97,0.711340206
-0.45,-0.45,0.69,3,1,97,0.680412371
-0.45,-0.4,0.57,3,0.333333333,97,0.577319588
-0.45,-0.35,0.5,4,0.5,96,0.5
-0.45,-0.3,0.64,1,0,99,0.646464646
-0.45,-0.25,0.51,7,0.285714286,93,0.52688172
-0.45,-0.2,0.56,2,0.5,98,0.56122449
-0.45,-0.15,0.54,4,0.5,96,0.541666667
-0.45,-0.1,0.51,1,0,99,0.515151515
-0.45,-0.05,0.5,7,0.285714286,93,0.516129032
-0.45,0,0.47,7,0.428571429,93,0.47311828
-0.45,0.05,0.39,16,0.1875,84,0.428571429
-0.45,0.1,0.4,5,0.2,95,0.410526316
-0.45,0.15,0.51,10,0.2,90,0.544444444
-0.45,0.2,0.47,5,0.2,95,0.484210526
-0.45,0.25,0.46,10,0,90,0.511111111
-0.45,0.3,0.41,10,0.1,90,0.444444444
-0.45,0.35,0.39,3,0,97,0.402061856
-0.45,0.4,0.54,4,0.5,96,0.541666667
-0.45,0.45,0.47,5,0,95,0.494736842
-0.45,0.5,0.47,3,0.666666667,97,0.463917526
-0.45,0.55,0.54,0,0,100,0.54
-0.45,0.6,0.46,3,0.333333333,97,0.463917526
-0.45,0.65,0.56,6,0.166666667,94,0.585106383
-0.45,0.7,0.54,3,0,97,0.556701031
-0.45,0.75,0.49,3,0,97,0.505154639
-0.45,0.8,0.56,2,0.5,98,0.56122449
-0.45,0.85,0.6,6,0.166666667,94,0.627659574
-0.45,0.9,0.54,2,0,98,0.551020408
-0.45,0.95,0.64,4,0.75,96,0.635416667
-0.45,1,0.59,1,0,99,0.595959596
-0.4,-1,0.63,15,0.4,85,0.670588235
-0.4,-0.95,0.73,9,0.777777778,91,0.725274725
